player_sk,player_id,player_name,dob,batting_hand,bowling_skill,country_name
0,1,SC Ganguly,null,Left-hand bat,Right-arm medium,India
1,2,BB McCullum,null,Right-hand bat,Right-arm medium,New Zealand
2,3,RT Ponting,null,Right-hand bat,Right-arm medium,Australia
3,4,DJ Hussey,null,Right-hand bat,Right-arm offbreak,Australia
4,5,Mohammad Hafeez,null,Right-hand bat,Right-arm offbreak,Pakistan
5,6,R Dravid,null,Right-hand bat,Right-arm offbreak,India
6,7,W Jaffer,null,Right-hand bat,Right-arm offbreak,India
7,8,V Kohli,null,Right-hand bat,Right-arm medium,India
8,9,JH Kallis,null,Right-hand bat,Right-arm fast-medium,South Africa
9,10,CL White,null,Right-hand bat,Legbreak googly,Australia
10,11,MV Boucher,null,Right-hand bat,Right-arm medium,South Africa
11,12,B Akhil,null,Right-hand bat,Right-arm medium-fast,India
12,13,AA Noffke,null,Right-hand bat,Right-arm fast-medium,Australia
13,14,P Kumar,null,Right-hand bat,Right-arm medium,India
14,15,Z Khan,null,Right-hand bat,Left-arm fast-medium,India
15,16,SB Joshi,null,Left-hand bat,Slow left-arm orthodox,India
16,17,PA Patel,null,Left-hand bat,N/A,India
17,18,ML Hayden,null,Left-hand bat,Right-arm medium,Australia
18,19,MEK Hussey,null,Left-hand bat,Right-arm medium,Australia
19,20,MS Dhoni,null,Right-hand bat,Right-arm medium,India
20,21,SK Raina,null,Left-hand bat,Right-arm offbreak,India
21,22,JDP Oram,null,Left-hand bat,Right-arm fast-medium,New Zealand
22,23,S Badrinath,null,Right-hand bat,Right-arm offbreak,India
23,24,K Goel,null,Left-hand bat,Right-arm offbreak,India
24,25,JR Hopes,null,Right-hand bat,Right-arm medium,Australia
25,26,KC Sangakkara,null,Left-hand bat,Right-arm offbreak,Sri Lanka
26,27,Yuvraj Singh,null,Left-hand bat,Slow left-arm orthodox,India
27,28,SM Katich,null,Left-hand bat,Slow left-arm chinaman,Australia
28,29,IK Pathan,null,Left-hand bat,Left-arm medium-fast,India
29,30,T Kohli,null,Right-hand bat,Right-arm medium,India
30,31,YK Pathan,null,Right-hand bat,Right-arm offbreak,India
31,32,SR Watson,null,Right-hand bat,Right-arm fast-medium,Australia
32,33,M Kaif,null,Right-hand bat,Right-arm offbreak,India
33,34,DS Lehmann,null,Left-hand bat,Slow left-arm orthodox,Australia
34,35,RA Jadeja,null,Left-hand bat,Slow left-arm orthodox,India
35,36,M Rawat,null,Right-hand bat,N/A,India
36,37,D Salunkhe,null,Right-hand bat,Legbreak,India
37,38,SK Warne,null,Right-hand bat,Legbreak googly,Australia
38,39,SK Trivedi,null,Right-hand bat,Right-arm medium,India
39,40,G Gambhir,null,Left-hand bat,Legbreak,India
40,41,V Sehwag,null,Right-hand bat,Right-arm offbreak,India
41,42,S Dhawan,null,Left-hand bat,Right-arm offbreak,India
